DOCENTE RESPONSAVEL,CÓD.UC,NOME DA UC,APROVADOS,REPROVADOS,TOTAL
ADENAUER GIRARDI CASALI,4348,FENÔMENOS DO CONTÍNUO,27.94%,72.06%,68
ADENAUER GIRARDI CASALI,4369,FENÔMENOS MECÂNICOS,28.57%,71.43%,126
ADENAUER GIRARDI CASALI,5132,ANÁLISE DE SINAIS,44.65%,55.35%,477
ADENAUER GIRARDI CASALI,5777,FUNDAMENTOS DE MATLAB APLICADO À ENGENHARIA,62.96%,37.04%,27
ADENAUER GIRARDI CASALI,6112,ENGENHARIA MÉDICA APLICADA,54.83%,45.17%,259
ALINE CAPELLA DE OLIVEIRA,2828,CÁLCULO NUMÉRICO,86.41%,13.59%,103
ALINE CAPELLA DE OLIVEIRA,4350,QUÍMICA ORGÂNICA,95.65%,4.35%,92
ALINE CAPELLA DE OLIVEIRA,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,72.73%,27.27%,143
ALINE CAPELLA DE OLIVEIRA,5367,CÁLCULO EM UMA VARIÁVEL,55.93%,44.07%,59
ALINE CAPELLA DE OLIVEIRA,5787,TÉCNICAS EXPERIMENTAIS,92.38%,7.62%,223
ALINE CAPELLA DE OLIVEIRA,5876,TRATAMENTOS TÉRMICOS,95.97%,4.03%,397
ALINE CAPELLA DE OLIVEIRA,5877,PROCESSAMENTO DE MATERIAIS METÁLICOS,96.25%,3.75%,80
ALINE CAPELLA DE OLIVEIRA,5878,METALURGIA EXTRATIVA,97.44%,2.56%,39
ALINE CAPELLA DE OLIVEIRA,7751,ECOS - EM,89.9%,10.1%,99
ALVARO LUIZ FAZENDA,2651,ALGORITMOS E ESTRUTURAS DE DADOS,38.61%,61.39%,101
ALVARO LUIZ FAZENDA,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,80.48%,19.52%,251
ALVARO LUIZ FAZENDA,3580,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,85.28%,14.72%,163
ANA CAROLINA LORENA,2471,PROGRAMAÇÃO ORIENTADA A OBJETOS,83.33%,16.67%,36
ANA CAROLINA LORENA,2615,COMPILADORES,98.21%,1.79%,112
ANA CAROLINA LORENA,3490,INTELIGÊNCIA ARTIFICIAL,86.36%,13.64%,22
ANA CAROLINA LORENA,6098,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMPILADORES,73.33%,26.67%,30
ANA CLAUDIA DA SILVA MOREIRA,2201,MATEMÁTICA DISCRETA,50.0%,50.0%,56
ANA CLAUDIA DA SILVA MOREIRA,2650,GEOMETRIA ANALÍTICA,23.08%,76.92%,26
ANA CLAUDIA DA SILVA MOREIRA,5367,CÁLCULO EM UMA VARIÁVEL,29.63%,70.37%,54
ANA LUISA DINE MARTINS LEMOS,2649,LÓGICA DE PROGRAMAÇÃO,70.61%,29.39%,456
ANA LUISA DINE MARTINS LEMOS,2651,ALGORITMOS E ESTRUTURAS DE DADOS,80.85%,19.15%,47
ANA LUISA DINE MARTINS LEMOS,3051,COMPUTAÇÃO GRÁFICA,75.58%,24.42%,172
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4348,FENÔMENOS DO CONTÍNUO,70.45%,29.55%,44
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4369,FENÔMENOS MECÂNICOS,57.8%,42.2%,327
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,98.11%,1.89%,53
ANA MARIA DO ESPIRITO SANTO SLAPNIK,4748,FENÔMENOS ELETROMAGNÉTICOS,63.81%,36.19%,105
ANA MARIA DO ESPIRITO SANTO SLAPNIK,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,90.0%,10.0%,140
ANA MARIA DO ESPIRITO SANTO SLAPNIK,5746,FÍSICA GERAL,85.19%,14.81%,27
ANA PAULA DE MORAES,4714,INTRODUÇÃO À ECOLOGIA,77.94%,22.06%,68
ANA PAULA DE MORAES,5740,BIOLOGIA GERAL,72.73%,27.27%,55
ANA PAULA DE MORAES,5859,BOTÂNICA E FISIOLOGIA VEGETAL,70.83%,29.17%,48
ANA PAULA FONSECA ALBERS,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,85.14%,14.86%,74
ANA PAULA FONSECA ALBERS,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,62.96%,37.04%,27
ANA PAULA FONSECA ALBERS,5402,"VIDROS, VITROCERÂMICOS E VIDRADOS",98.52%,1.48%,135
ANA PAULA FONSECA ALBERS,5784,MATÉRIAS-PRIMAS CERÂMICAS,94.87%,5.13%,39
ANA PAULA FONSECA ALBERS,5787,TÉCNICAS EXPERIMENTAIS,93.94%,6.06%,99
ANA PAULA FONSECA ALBERS,5875,CERÂMICAS REFRATÁRIAS,93.83%,6.17%,243
ANA PAULA FONSECA ALBERS,6682,ENGENHARIA DE PRODUTOS CERÂMICOS,98.73%,1.27%,158
ANA PAULA LEMES,4370,QUÍMICA GERAL EXPERIMENTAL,57.78%,42.22%,90
ANA PAULA LEMES,4537,TECNOLOGIA E MEIO AMBIENTE,90.52%,9.48%,211
ANA PAULA LEMES,5144,MATERIAIS POLIMÉRICOS,90.69%,9.31%,408
ANA PAULA LEMES,6931,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS II,95.56%,4.44%,45
ANA PAULA LEMES,8519,PROJETOS SUSTENTÁVEIS EM POLÍMEROS,94.44%,5.56%,72
ANDERSON GARBUGLIO DE OLIVEIRA,4370,QUÍMICA GERAL EXPERIMENTAL,74.07%,25.93%,54
ANDERSON GARBUGLIO DE OLIVEIRA,5704,QUÍMICA GERAL,68.18%,31.82%,44
ANDRE MARCORIN DE OLIVEIRA,6033,SISTEMAS EMBARCADOS,80.41%,19.59%,97
ANDRE MARCORIN DE OLIVEIRA,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,97.56%,2.44%,41
ANDRE MARCORIN DE OLIVEIRA,8271,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMUNICAÇÃO DIGITAL,95.24%,4.76%,21
ANDRE ZELANIS PALITOT PEREIRA,5372,INTRODUÇÃO À BIOINFORMÁTICA,88.24%,11.76%,136
ANDRE ZELANIS PALITOT PEREIRA,5390,INTRODUÇÃO À BIOLOGIA DE SISTEMAS,89.08%,10.92%,119
ANDRE ZELANIS PALITOT PEREIRA,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,72.43%,27.57%,816
ANGELO CALIL BIANCHI,2201,MATEMÁTICA DISCRETA,28.57%,71.43%,77
ANGELO CALIL BIANCHI,2475,ÁLGEBRA LINEAR,52.76%,47.24%,163
ANGELO CALIL BIANCHI,2650,GEOMETRIA ANALÍTICA,57.32%,42.68%,82
ANGELO CALIL BIANCHI,4187,INTRODUÇÃO À GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,29.07%,70.93%,86
ANTONIO AUGUSTO CHAVES,2616,LINGUAGENS FORMAIS E AUTÔMATOS,86.72%,13.28%,399
ANTONIO AUGUSTO CHAVES,2649,LÓGICA DE PROGRAMAÇÃO,52.27%,47.73%,44
ANTONIO AUGUSTO CHAVES,4409,INTRODUÇÃO À PESQUISA OPERACIONAL,64.0%,36.0%,25
ARLINDO FLAVIO DA CONCEICAO,2649,LÓGICA DE PROGRAMAÇÃO,60.55%,39.45%,109
ARLINDO FLAVIO DA CONCEICAO,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,51.85%,48.15%,27
ARLINDO FLAVIO DA CONCEICAO,3047,MULTIMÍDIA,54.55%,45.45%,22
ARLINDO FLAVIO DA CONCEICAO,6100,PROJETOS EM ENGENHARIA DE COMPUTAÇÃO,95.83%,4.17%,24
ARLINDO FLAVIO DA CONCEICAO,6101,SEMINÁRIOS INTERDISCIPLINARES,85.71%,14.29%,21
ARLINDO FLAVIO DA CONCEICAO,6169,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO II,68.97%,31.03%,29
ARLINDO FLAVIO DA CONCEICAO,8822,SEMINÁRIOS MULTIDISCIPLINARES SOBRE CIÊNCIA E TECNOLOGIA,83.72%,16.28%,43
BRUNO YUJI LINO KIMURA,2612,SISTEMAS OPERACIONAIS,60.38%,39.62%,366
BRUNO YUJI LINO KIMURA,2617,REDES DE COMPUTADORES,72.98%,27.02%,248
BRUNO YUJI LINO KIMURA,2649,LÓGICA DE PROGRAMAÇÃO,52.22%,47.78%,90
CAMILA BERTINI MARTINS,2609,PROBABILIDADE E ESTATÍSTICA,67.31%,32.69%,52
CARLOS CESAR APARECIDO EGUTI,6110,AVANÇOS EM ENGENHARIA BIOMÉDICA,83.72%,16.28%,43
CARLOS MARCELO GURJAO DE GODOY,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,87.63%,12.37%,97
CARLOS MARCELO GURJAO DE GODOY,4380,INTRODUÇÃO À ENGENHARIA BIOMÉDICA,90.08%,9.92%,121
CARLOS MARCELO GURJAO DE GODOY,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,82.35%,17.65%,68
CARLOS MARCELO GURJAO DE GODOY,5364,FENÔMENOS DO CONTÍNUO EXPERIMENTAL,97.14%,2.86%,35
CARLOS MARCELO GURJAO DE GODOY,5385,COMUNICAÇÃO E EXPRESSÃO,80.39%,19.61%,51
CARLOS MARCELO GURJAO DE GODOY,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,98.66%,1.34%,149
CARLOS MARCELO GURJAO DE GODOY,6093,BIOFÍSICA,78.0%,22.0%,50
CARLOS MARCELO GURJAO DE GODOY,6113,ELETRÔNICA AVANÇADA,97.78%,2.22%,90
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,2650,GEOMETRIA ANALÍTICA,60.4%,39.6%,149
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,4328,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,72.04%,27.96%,397
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,5359,CÁLCULO EM VÁRIAS VARIÁVEIS,73.97%,26.03%,219
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,5367,CÁLCULO EM UMA VARIÁVEL,48.78%,51.22%,246
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,7684,LABORATÓRIO DE MATEMÁTICA,84.17%,15.83%,139
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,8821,"COORDENADAS POLARES, CILÍNDRICAS E ESFÉRICAS",66.04%,33.96%,53
CLAUDIA ALINE AZEVEDO DOS SANTOS MESQUITA,8823,FUNÇÕES TRIGONOMÉTRICAS,77.7%,22.3%,139
CLAUDIA BARBOSA LADEIRA DE CAMPOS,4189,BIOLOGIA MOLECULAR E CELULAR,73.68%,26.32%,95
CLAUDIA BARBOSA LADEIRA DE CAMPOS,4375,LABORATÓRIO DE BIOLOGIA MOLECULAR E CELULAR,94.97%,5.03%,159
CLAUDIA BARBOSA LADEIRA DE CAMPOS,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,74.97%,25.03%,843
CLAUDIA BARBOSA LADEIRA DE CAMPOS,5741,BIOLOGIA MOLECULAR DA CÉLULA,77.43%,22.57%,319
CLAUDIO SABURO SHIDA,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,78.39%,21.61%,236
CLAUDIO SABURO SHIDA,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,95.12%,4.88%,82
CLAUDIO SABURO SHIDA,4541,MICROECONOMIA,57.29%,42.71%,192
CLAUDIO SABURO SHIDA,4765,DESENHO TÉCNICO,88.52%,11.48%,244
CLAUDIO SABURO SHIDA,4766,ELETRICIDADE APLICADA,86.49%,13.51%,37
CLAUDIO SABURO SHIDA,5414,ALGORITMOS EM BIOINFORMÁTICA,93.26%,6.74%,386
CLAUDIO SABURO SHIDA,5704,QUÍMICA GERAL,63.56%,36.44%,118
CLAUDIO SABURO SHIDA,5885,QUALIDADE,71.43%,28.57%,28
CLAUDIO SABURO SHIDA,5900,DESENHO TÉCNICO BÁSICO,82.04%,17.96%,1186
CLAUDIO SABURO SHIDA,5901,DESENHO TÉCNICO ASSISTIDO POR COMPUTADOR,86.82%,13.18%,129
CLAUDIO SABURO SHIDA,6099,MATERIAIS ELÉTRICOS,88.89%,11.11%,36
CLEBER FERNANDO COLLE,5367,CÁLCULO EM UMA VARIÁVEL,52.17%,47.83%,253
DAIANA OLIVEIRA DOS SANTOS,5367,CÁLCULO EM UMA VARIÁVEL,84.44%,15.56%,45
DANIEL GUSTAVO GOROSO,4348,FENÔMENOS DO CONTÍNUO,66.07%,33.93%,56
DANIEL GUSTAVO GOROSO,4369,FENÔMENOS MECÂNICOS,51.05%,48.95%,239
DANIEL GUSTAVO GOROSO,5364,FENÔMENOS DO CONTÍNUO EXPERIMENTAL,80.95%,19.05%,21
DANIEL GUSTAVO GOROSO,5746,FÍSICA GERAL,93.1%,6.9%,29
DANIELA LEAL MUSA,2609,PROBABILIDADE E ESTATÍSTICA,71.15%,28.85%,52
DANIELA LEAL MUSA,2649,LÓGICA DE PROGRAMAÇÃO,77.29%,22.71%,458
DANIELA LEAL MUSA,2651,ALGORITMOS E ESTRUTURAS DE DADOS,62.5%,37.5%,40
DANIELA LEAL MUSA,2672,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",85.07%,14.93%,67
DANIELA LEAL MUSA,2828,CÁLCULO NUMÉRICO,90.09%,9.91%,111
DANIELA LEAL MUSA,2831,BANCO DE DADOS,95.87%,4.13%,557
DANIELA LEAL MUSA,4186,BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA,84.27%,15.73%,89
DANIELA LEAL MUSA,4348,FENÔMENOS DO CONTÍNUO,52.63%,47.37%,38
DANIELA LEAL MUSA,4352,MODELAGEM COMPUTACIONAL,86.11%,13.89%,36
DANIELA LEAL MUSA,4767,"ECONOMIA, SOCIEDADE E MEIO AMBIENTE",93.62%,6.38%,47
DANIELA LEAL MUSA,4782,ASPECTOS DE IMPLEMENTAÇÃO DE BANCO DE DADOS,85.19%,14.81%,81
DANIELA LEAL MUSA,6106,ELABORAÇÃO DE TRABALHOS CIENTÍFICOS E TECNOLÓGICOS EM COMPUTAÇÃO,84.0%,16.0%,25
DANIELA LEAL MUSA,7754,ECOS - EC,93.75%,6.25%,112
DANIELI APARECIDA PEREIRA REIS,3491,TRABALHO DE CONCLUSÃO DE CURSO,76.92%,23.08%,39
DANIELI APARECIDA PEREIRA REIS,4188,QUÍMICA GERAL TEÓRICA,77.39%,22.61%,230
DANIELI APARECIDA PEREIRA REIS,5143,MATERIAIS METÁLICOS,95.13%,4.87%,267
DANIELI APARECIDA PEREIRA REIS,6182,TRABALHO DE CONCLUSÃO DE CURSO II,68.18%,31.82%,44
DANIELI APARECIDA PEREIRA REIS,6671,METALURGIA FÍSICA,97.22%,2.78%,36
DANIELI APARECIDA PEREIRA REIS,6928,METALURGIA MECÂNICA,97.58%,2.42%,289
DANIELLE MAASS,4537,TECNOLOGIA E MEIO AMBIENTE,86.11%,13.89%,36
DANIELLE MAASS,5759,BIOTECNOLOGIA DE ENERGIAS RENOVÁVEIS,86.52%,13.48%,141
DANIELLE MAASS,5857,BIOTECNOLOGIA AMBIENTAL,85.16%,14.84%,128
DANIELLE MAASS,5863,BIOTECNOLOGIA DE ENERGIAS RENOVÁVEIS II,95.45%,4.55%,44
DANIELLE MAASS,5865,BIOTECNOLOGIA AMBIENTAL II,97.83%,2.17%,46
DAYANE BATISTA TADA,4188,QUÍMICA GERAL TEÓRICA,49.14%,50.86%,175
DAYANE BATISTA TADA,4370,QUÍMICA GERAL EXPERIMENTAL,58.39%,41.61%,161
DAYANE BATISTA TADA,5169,INTRODUÇÃO À NANOTECNOLOGIA,82.09%,17.91%,363
DAYANE BATISTA TADA,5704,QUÍMICA GERAL,50.26%,49.74%,569
DAYANE BATISTA TADA,5786,SÍNTESE DE POLÍMEROS,96.92%,3.08%,65
DENISE STRINGHINI,2471,PROGRAMAÇÃO ORIENTADA A OBJETOS,86.96%,13.04%,23
DENISE STRINGHINI,2475,ÁLGEBRA LINEAR,94.49%,5.51%,127
DENISE STRINGHINI,2609,PROBABILIDADE E ESTATÍSTICA,84.08%,15.92%,157
DENISE STRINGHINI,2649,LÓGICA DE PROGRAMAÇÃO,63.04%,36.96%,92
DENISE STRINGHINI,2834,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,89.19%,10.81%,74
DENISE STRINGHINI,3518,CIRCUITOS DIGITAIS,71.68%,28.32%,685
DENISE STRINGHINI,3580,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,81.19%,18.81%,101
DENISE STRINGHINI,4348,FENÔMENOS DO CONTÍNUO,48.65%,51.35%,37
DENISE STRINGHINI,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,78.29%,21.71%,350
DENISE STRINGHINI,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,85.29%,14.71%,34
DENISE STRINGHINI,4748,FENÔMENOS ELETROMAGNÉTICOS,62.16%,37.84%,37
DENISE STRINGHINI,4774,MUDANÇA DO CLIMA E SOCIEDADE,89.36%,10.64%,47
DENISE STRINGHINI,5135,CIRCUITOS ELÉTRICOS,43.18%,56.82%,44
DENISE STRINGHINI,5704,QUÍMICA GERAL,36.36%,63.64%,66
DENISE STRINGHINI,5844,MATEMÁTICA GERAL,98.15%,1.85%,54
DENISE STRINGHINI,5900,DESENHO TÉCNICO BÁSICO,65.62%,34.38%,32
DENISE STRINGHINI,7672,PRÁTICA EM PROJETOS EXTENSIONISTAS,83.54%,16.46%,79
DENISE STRINGHINI,8051,PRÁTICA EM PROJETOS EXTENSIONISTAS II,90.32%,9.68%,62
DILERMANDO NAGLE TRAVESSA,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,91.3%,8.7%,23
DILERMANDO NAGLE TRAVESSA,5143,MATERIAIS METÁLICOS,99.14%,0.86%,116
DILERMANDO NAGLE TRAVESSA,5387,ENSAIOS DE MATERIAIS,95.08%,4.92%,325
DILERMANDO NAGLE TRAVESSA,5877,PROCESSAMENTO DE MATERIAIS METÁLICOS,88.72%,11.28%,266
DILERMANDO NAGLE TRAVESSA,7751,ECOS - EM,75.43%,24.57%,175
EDSON GIULIANI RAMOS FERNANDES,5135,CIRCUITOS ELÉTRICOS,53.89%,46.11%,347
EDSON GIULIANI RAMOS FERNANDES,5170,BIOMATERIAIS,84.65%,15.35%,456
EDSON GIULIANI RAMOS FERNANDES,5386,CONTROLE DE SISTEMAS DINÂMICOS,91.89%,8.11%,37
EDSON GIULIANI RAMOS FERNANDES,5933,BIOSSENSORES,90.48%,9.52%,126
EDUARDO ANTONELLI,4348,FENÔMENOS DO CONTÍNUO,82.22%,17.78%,90
EDUARDO ANTONELLI,4369,FENÔMENOS MECÂNICOS,42.91%,57.09%,289
EDUARDO ANTONELLI,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,94.85%,5.15%,136
EDUARDO ANTONELLI,4748,FENÔMENOS ELETROMAGNÉTICOS,85.19%,14.81%,270
EDUARDO ANTONELLI,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,95.74%,4.26%,329
EDUARDO ANTONELLI,5364,FENÔMENOS DO CONTÍNUO EXPERIMENTAL,96.0%,4.0%,100
EDUARDO FERRO DOS SANTOS,4765,DESENHO TÉCNICO,96.3%,3.7%,54
EDUARDO QUINTEIRO,3491,TRABALHO DE CONCLUSÃO DE CURSO,78.87%,21.13%,71
EDUARDO QUINTEIRO,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,86.96%,13.04%,138
EDUARDO QUINTEIRO,5142,MATERIAIS CERÂMICOS,95.83%,4.17%,24
EDUARDO QUINTEIRO,5396,SELEÇÃO DE MATERIAIS,95.5%,4.5%,333
EDUARDO QUINTEIRO,5784,MATÉRIAS-PRIMAS CERÂMICAS,98.25%,1.75%,342
EDUARDO QUINTEIRO,6182,TRABALHO DE CONCLUSÃO DE CURSO II,91.53%,8.47%,59
EDUARDO QUINTEIRO,6927,MATERIAIS DE CONSTRUÇÃO CIVIL,95.07%,4.93%,223
ELBERT EINSTEIN NEHRER MACAU,2975,TEORIA DOS GRAFOS,95.83%,4.17%,24
ELBERT EINSTEIN NEHRER MACAU,6101,SEMINÁRIOS INTERDISCIPLINARES,93.85%,6.15%,65
ELBERT EINSTEIN NEHRER MACAU,6106,ELABORAÇÃO DE TRABALHOS CIENTÍFICOS E TECNOLÓGICOS EM COMPUTAÇÃO,63.86%,36.14%,83
ELIANDRA DE SOUSA TRICHES,5142,MATERIAIS CERÂMICOS,96.15%,3.85%,442
ELIANDRA DE SOUSA TRICHES,5402,"VIDROS, VITROCERÂMICOS E VIDRADOS",96.74%,3.26%,92
ELIANDRA DE SOUSA TRICHES,5873,PROCESSAMENTO DE MATERIAIS CERÂMICOS,97.9%,2.1%,143
ELIANDRA DE SOUSA TRICHES,5882,ESTÁGIO,96.0%,4.0%,25
ELIANDRA DE SOUSA TRICHES,7751,ECOS - EM,96.88%,3.12%,32
